
res/unweighted_50.txt 테스트
test # 1
solution cost: 96

test # 2
solution cost: 98

test # 3
solution cost: 94

test # 4
solution cost: 96

test # 5
solution cost: 92

test # 6
solution cost: 97

test # 7
solution cost: 95

test # 8
solution cost: 93

test # 9
solution cost: 94

test # 10
solution cost: 96

test # 11
solution cost: 94

test # 12
solution cost: 99

test # 13
solution cost: 97

test # 14
solution cost: 99

test # 15
solution cost: 95

test # 16
solution cost: 98

test # 17
solution cost: 97

test # 18
solution cost: 98

test # 19
solution cost: 94

test # 20
solution cost: 96

test # 21
solution cost: 97

test # 22
solution cost: 95

test # 23
solution cost: 97

test # 24
solution cost: 98

test # 25
solution cost: 94

test # 26
solution cost: 97

test # 27
solution cost: 91

test # 28
solution cost: 92

test # 29
solution cost: 95

test # 30
solution cost: 97

un 50: 7.26225min
누적 실행 시간 : 7.26225min

res/unweighted_100.txt 테스트
test # 1
solution cost: 337

test # 2
solution cost: 348

test # 3
solution cost: 340

test # 4
solution cost: 345

test # 5
solution cost: 335

test # 6
solution cost: 350

test # 7
solution cost: 337

test # 8
solution cost: 354

test # 9
solution cost: 339

test # 10
solution cost: 352

test # 11
solution cost: 337

test # 12
solution cost: 350

test # 13
solution cost: 348

test # 14
solution cost: 337

test # 15
solution cost: 343

test # 16
solution cost: 356

test # 17
solution cost: 346

test # 18
solution cost: 341

test # 19
solution cost: 352

test # 20
solution cost: 344

test # 21
solution cost: 347

test # 22
solution cost: 346

test # 23
solution cost: 338

test # 24
solution cost: 344

test # 25
solution cost: 347

test # 26
solution cost: 343

test # 27
solution cost: 345

test # 28
solution cost: 340

test # 29
solution cost: 344

test # 30
solution cost: 340

un 100: 32.0176min
누적 실행 시간 : 39.2799min

res/unweighted_100.txt 테스트
test # 1
solution cost: 3428

test # 2
solution cost: 3409

test # 3
solution cost: 3387

test # 4
solution cost: 3396

test # 5
solution cost: 3420

test # 6
solution cost: 3393

test # 7
solution cost: 3418

test # 8
solution cost: 3452

test # 9
solution cost: 3405

test # 10
solution cost: 3392

test # 11
solution cost: 3424

test # 12
solution cost: 3400

test # 13
solution cost: 3437

test # 14
solution cost: 3410

test # 15
solution cost: 3360

test # 16
solution cost: 3390

test # 17
solution cost: 3400

test # 18
solution cost: 3401

test # 19
solution cost: 3435

test # 20
solution cost: 3376

test # 21
solution cost: 3394

test # 22
solution cost: 3409

test # 23
solution cost: 3398

test # 24
solution cost: 3454

test # 25
solution cost: 3385

test # 26
solution cost: 3426

test # 27
solution cost: 3420

test # 28
solution cost: 3377

test # 29
solution cost: 3386

test # 30
solution cost: 3378

w 500: 88.5097min
프로그램 실행 시간 : 127.79min
