,cost,solution
1,337,1 4 5 6 8 10 13 14 15 16 17 18 20 21 23 26 29 31 35 37 40 42 43 45 46 47 48 50 52 53 54 57 58 60 62 64 65 67 73 75 78 79 82 84 85 88 90 91 92 95 96 99 
2,348,1 4 8 11 16 19 20 21 24 26 27 28 29 31 34 35 36 37 38 45 47 51 54 56 57 58 59 60 65 66 67 68 69 71 73 75 76 77 81 82 84 85 87 89 91 92 93 95 96 98 100 
3,340,1 2 9 10 11 12 13 14 15 16 17 18 19 21 23 24 26 29 30 44 45 46 47 48 49 50 51 52 53 54 56 57 60 61 62 63 64 65 67 69 73 75 77 78 82 85 88 90 91 92 95 99 
4,345,1 3 5 6 9 10 12 13 14 16 23 25 26 28 29 30 32 34 35 36 37 39 44 45 46 47 48 49 50 51 52 54 55 59 61 65 66 69 70 72 76 77 81 83 84 85 86 88 90 93 94 95 
5,335,1 4 5 6 7 8 16 19 20 21 23 28 29 32 34 35 37 38 42 45 47 49 50 54 65 66 67 68 69 70 71 72 73 76 77 81 83 84 85 86 87 88 89 90 93 94 95 96 97 98 
6,350,1 4 5 6 8 10 11 14 15 16 20 21 23 26 27 28 29 31 33 35 36 39 45 47 49 51 54 56 57 58 60 62 65 68 69 71 73 75 77 78 79 81 84 85 87 88 89 91 92 95 98 
7,337,1 4 6 10 11 12 18 19 21 23 25 27 30 31 32 33 35 38 39 42 46 48 49 50 52 54 55 56 60 65 70 71 73 74 76 77 78 82 83 84 85 87 89 93 94 95 96 
8,354,1 3 4 6 8 10 11 20 23 26 27 29 31 33 34 35 36 37 39 40 42 45 48 49 51 54 55 58 59 60 62 65 68 69 70 71 73 75 76 77 78 79 81 84 85 87 88 89 91 92 93 95 98 
9,339,1 4 5 6 13 14 15 16 20 21 23 26 28 29 31 32 35 37 38 45 46 47 48 53 54 57 60 61 62 63 64 65 66 67 68 69 70 72 73 75 76 79 81 82 84 85 87 91 92 95 96 98 
10,352,1 4 5 7 8 11 14 15 20 21 24 27 29 31 32 33 35 36 40 42 45 47 49 54 56 57 58 60 62 66 68 71 73 74 75 76 78 79 81 82 85 87 89 91 92 95 96 97 98 100 
11,337,1 6 10 13 14 15 16 17 19 20 21 23 25 26 28 31 34 35 37 45 47 49 51 53 54 57 61 62 63 64 65 67 68 69 70 72 73 79 80 81 82 86 87 90 92 93 94 97 98 
12,350,1 4 5 8 10 11 14 20 21 23 26 27 29 31 33 34 35 37 40 42 45 48 51 54 57 58 59 60 63 64 65 67 68 71 73 75 76 77 78 79 81 82 84 87 91 92 95 98 
13,348,1 4 8 10 11 19 20 21 26 27 28 29 31 34 37 40 42 45 51 54 57 58 59 60 63 64 65 66 67 68 69 70 71 73 75 76 77 79 81 82 84 86 87 89 91 92 95 97 98 
14,337,1 2 3 6 9 10 11 12 13 14 17 23 24 26 29 30 31 34 39 44 46 47 48 49 50 51 52 53 54 55 56 58 60 61 62 63 69 73 74 75 78 85 86 88 90 91 92 93 95 100 
15,343,1 3 4 8 10 16 19 20 21 24 26 28 29 31 34 35 36 37 38 40 42 43 45 47 55 58 59 60 65 66 67 68 69 70 71 73 75 76 77 79 81 82 84 87 89 90 91 92 93 95 98 
16,356,1 4 8 10 11 15 19 20 21 24 26 27 29 31 33 35 36 40 42 45 47 48 51 54 56 57 58 59 60 62 65 67 68 71 73 75 76 77 78 79 81 82 84 85 87 89 91 92 95 98 
17,346,1 3 4 5 6 8 11 12 13 16 20 26 27 29 31 34 35 36 38 39 45 46 48 49 51 54 55 56 58 59 60 65 66 69 70 73 76 78 81 82 83 84 85 87 88 92 93 95 98 100 
