generation,count,mean,std,min,25%,50%,75%,max
1,2000,247.6565,10.7546,211.0,241.0,248.0,255.0,279.0
2,2000,248.0695,10.5749,211.0,241.0,248.0,255.0,279.0
3,2000,248.4615,10.3277,211.0,241.0,248.0,255.0,280.0
4,2000,248.8540,10.1671,215.0,241.75,249.0,256.0,280.0
5,2000,249.2285,10.0434,223.0,242.0,249.0,256.0,284.0
6,2000,249.6315,9.8589,224.0,243.0,249.0,256.0,284.0
7,2000,249.9860,9.8234,227.0,243.0,250.0,256.0,291.0
8,2000,250.4040,9.8057,227.0,243.0,250.0,257.0,291.0
9,2000,250.7725,9.7328,227.0,243.0,250.0,257.0,292.0
10,2000,251.1880,9.6949,227.0,244.0,251.0,257.0,292.0
11,2000,251.5890,9.6419,230.0,244.0,251.0,258.0,292.0
12,2000,251.9560,9.5915,230.0,245.0,252.0,258.25,292.0
13,2000,252.2985,9.5946,230.0,245.0,252.0,259.0,292.0
14,2000,252.6605,9.5492,233.0,245.0,252.0,259.0,292.0
15,2000,253.0005,9.5108,234.0,245.0,253.0,260.0,292.0
16,2000,253.3570,9.4455,235.0,246.0,253.0,260.0,292.0
17,2000,253.7420,9.4793,235.0,246.0,253.0,260.0,294.0
18,2000,254.0920,9.5664,235.0,247.0,254.0,260.0,299.0
19,2000,254.4215,9.6043,235.0,247.0,254.0,261.0,304.0
20,2000,254.7985,9.6760,237.0,248.0,254.0,261.0,304.0
21,2000,255.1290,9.7502,237.0,248.0,254.0,261.0,304.0
22,2000,255.4720,9.8549,237.0,248.0,255.0,262.0,304.0
23,2000,255.8120,9.9733,238.0,249.0,255.0,262.0,304.0
24,2000,256.1180,10.0698,238.0,249.0,255.0,262.0,304.0
25,2000,256.5050,10.2524,238.0,249.0,255.0,262.25,308.0
26,2000,256.8735,10.3748,238.0,249.0,255.0,263.0,308.0
27,2000,257.1965,10.5004,241.0,249.75,256.0,263.0,308.0
28,2000,257.5360,10.6606,241.0,250.0,256.0,263.0,308.0
29,2000,257.8775,10.8301,241.0,250.0,256.0,263.0,308.0
30,2000,258.2350,11.1495,241.0,251.0,256.0,264.0,308.0
31,2000,258.5800,11.2756,241.0,251.0,256.0,264.0,308.0
32,2000,258.9565,11.4523,241.0,251.0,257.0,265.0,308.0
33,2001,259.3443,11.5267,241.0,251.0,257.0,265.0,308.0
34,2001,259.7316,11.7810,241.0,252.0,257.0,265.0,308.0
35,2001,260.0835,11.9483,241.0,252.0,257.0,265.0,308.0
36,2001,260.4258,12.1270,241.0,252.0,258.0,265.0,308.0
37,2001,260.7801,12.2843,241.0,252.0,258.0,266.0,308.0
38,2001,261.1454,12.5361,241.0,253.0,259.0,266.0,312.0
39,2001,261.5087,12.7328,241.0,253.0,259.0,266.0,312.0
40,2001,261.8471,12.9705,244.0,253.0,259.0,266.0,312.0
41,2001,262.2054,13.1822,244.0,253.0,260.0,266.0,312.0
42,2001,262.5252,13.2791,244.0,254.0,260.0,267.0,312.0
43,2001,262.9125,13.4423,244.0,254.0,260.0,267.0,312.0
44,2001,263.2794,13.6557,244.0,254.0,260.0,268.0,314.0
45,2001,263.6292,13.8706,244.0,254.0,260.0,269.0,314.0
46,2001,264.0200,14.0505,244.0,254.0,260.0,269.0,314.0
47,2001,264.3938,14.3065,244.0,255.0,261.0,269.0,317.0
48,2001,264.7911,14.4998,244.0,255.0,261.0,270.0,317.0
49,2001,265.1374,14.6935,245.0,255.0,261.0,271.0,317.0
50,2001,265.4838,14.8537,245.0,255.0,261.0,271.0,317.0
51,2003,265.8622,15.1248,245.0,255.0,261.0,273.0,319.0
52,2003,266.2057,15.3111,245.0,255.0,262.0,273.0,319.0
53,2003,266.5212,15.5558,245.0,255.0,262.0,273.0,324.0
54,2003,266.8847,15.7231,245.0,255.0,262.0,274.0,324.0
55,2003,267.2641,15.9516,245.0,255.0,262.0,274.0,324.0
56,2003,267.6415,16.2215,246.0,256.0,262.0,275.0,324.0
57,2003,268.0085,16.4335,246.0,256.0,262.0,276.0,324.0
58,2003,268.4004,16.5970,246.0,256.0,263.0,277.0,324.0
59,2004,268.7745,16.7985,246.0,256.0,263.0,277.0,324.0
60,2004,269.1831,16.9732,246.0,256.0,263.0,279.0,324.0
61,2005,269.5766,17.1481,248.0,256.0,264.0,279.0,325.0
62,2005,269.9177,17.3183,248.0,256.0,264.0,280.0,325.0
63,2005,270.2973,17.5073,248.0,256.0,264.0,281.0,325.0
64,2005,270.6519,17.6933,248.0,256.0,264.0,282.0,325.0
65,2005,270.9880,17.8248,248.0,257.0,265.0,283.0,325.0
66,2005,271.3501,17.9517,248.0,257.0,265.0,284.0,325.0
67,2005,271.7357,18.1226,248.0,257.0,265.0,284.0,331.0
68,2005,272.1262,18.2659,248.0,257.0,265.0,286.0,331.0
69,2005,272.4579,18.3818,248.0,257.0,266.0,287.0,331.0
70,2005,272.8464,18.6136,248.0,257.0,266.0,287.0,331.0
71,2005,273.2324,18.8205,248.0,259.0,266.0,288.0,331.0
72,2006,273.5828,18.9558,251.0,259.0,266.0,288.0,331.0
73,2006,273.9711,19.1317,251.0,259.0,266.0,290.0,331.0
74,2007,274.3478,19.2598,234.0,259.0,267.0,291.0,331.0
75,2007,274.7519,19.3858,251.0,260.0,267.0,291.0,331.0
76,2007,275.1415,19.6116,251.0,260.0,267.0,292.0,331.0
77,2007,275.4953,19.7638,251.0,260.0,267.0,292.0,331.0
78,2007,275.9088,19.8884,251.0,260.0,268.0,293.0,331.0
79,2007,276.3204,20.0517,251.0,260.0,269.0,293.0,331.0
80,2007,276.7040,20.1929,251.0,260.0,269.0,294.0,331.0
81,2007,277.0568,20.3292,251.0,260.0,269.0,294.0,331.0
82,2007,277.4400,20.5271,251.0,260.0,270.0,296.0,331.0
83,2007,277.8595,20.6478,251.0,260.0,271.0,296.0,331.0
84,2007,278.2347,20.8451,251.0,260.0,271.0,297.0,331.0
85,2007,278.6308,20.9592,251.0,260.0,273.0,298.0,331.0
86,2007,279.0419,21.0489,251.0,261.0,273.0,298.0,331.0
87,2007,279.4649,21.1649,251.0,261.0,274.0,298.0,331.0
88,2007,279.8236,21.2406,251.0,261.0,274.0,298.0,332.0
89,2007,280.2093,21.2889,251.0,262.0,274.0,299.0,332.0
90,2007,280.5999,21.3895,251.0,262.0,275.0,299.0,332.0
91,2007,280.9636,21.4499,251.0,262.0,275.0,299.0,332.0
92,2008,281.3043,21.5533,240.0,262.0,277.0,300.0,332.0
93,2008,281.7405,21.5691,252.0,262.0,279.0,301.0,332.0
94,2008,282.1569,21.5942,252.0,262.0,279.0,301.0,332.0
95,2008,282.5593,21.6520,252.0,262.0,280.0,301.0,332.0
96,2008,282.8939,21.6732,252.0,262.0,280.0,301.0,332.0
97,2008,283.3058,21.7227,252.0,263.0,282.0,301.0,332.0
98,2008,283.6708,21.7632,252.0,263.0,282.0,302.0,332.0
99,2008,284.0329,21.7826,252.0,263.0,283.0,303.0,332.0
100,2008,284.4552,21.8095,252.0,263.0,284.0,303.0,332.0
101,2008,284.8391,21.8650,252.0,263.75,284.0,304.0,332.0
102,2008,285.2196,21.9377,252.0,264.0,285.0,304.0,332.0
103,2008,285.6404,22.0193,252.0,265.0,286.0,304.25,332.0
104,2008,286.0264,22.0677,252.0,265.0,287.0,305.0,332.0
105,2008,286.4263,22.0595,252.0,265.0,288.0,305.0,332.0
106,2008,286.8352,22.0136,252.0,265.0,289.0,306.0,332.0
107,2008,287.1798,21.9921,253.0,265.0,290.0,306.0,332.0
108,2008,287.5662,22.0277,253.0,265.0,291.0,306.0,332.0
109,2008,287.9387,22.0682,253.0,265.0,292.0,307.0,332.0
110,2008,288.3232,22.0883,253.0,266.0,292.0,307.0,332.0
111,2008,288.7007,22.1438,253.0,266.0,292.0,308.0,332.0
112,2008,289.0593,22.1225,253.0,266.0,292.5,308.0,332.0
113,2008,289.4079,22.1002,253.0,266.0,293.0,308.0,332.0
114,2008,289.8088,22.1190,253.0,266.0,294.0,308.0,332.0
115,2008,290.1873,22.1181,253.0,266.0,294.0,309.0,332.0
116,2008,290.5249,22.1098,253.0,267.0,294.0,309.0,332.0
117,2008,290.9323,22.0940,253.0,267.0,295.0,309.0,332.0
118,2008,291.3167,22.0861,254.0,267.0,296.0,310.0,332.0
119,2008,291.7017,22.0143,254.0,269.0,297.0,310.0,332.0
120,2008,292.1444,21.9941,254.0,269.0,297.0,310.0,332.0
121,2008,292.5423,21.9533,254.0,271.0,297.0,311.0,332.0
122,2008,292.9104,21.9218,255.0,274.0,297.0,311.0,332.0
123,2008,293.3411,21.8525,255.0,274.0,298.0,311.0,332.0
124,2008,293.7540,21.7316,255.0,274.0,298.0,311.0,332.0
125,2008,294.1574,21.6078,255.0,275.0,298.0,311.0,332.0
126,2008,294.4950,21.5196,255.0,276.0,298.0,311.0,332.0
127,2008,294.8755,21.4740,255.0,279.0,298.0,312.0,332.0
128,2008,295.2600,21.4160,255.0,279.0,299.0,312.0,332.0
129,2008,295.6673,21.3363,255.0,279.0,299.0,312.0,332.0
130,2008,296.0697,21.1954,255.0,280.0,299.0,313.0,332.0
131,2008,296.4691,21.0631,255.0,282.0,300.0,313.0,333.0
132,2008,296.8621,20.9639,255.0,282.0,301.0,313.0,333.0
133,2008,297.2794,20.8725,255.0,284.0,301.0,313.0,333.0
134,2009,297.6645,20.8142,255.0,284.0,301.0,314.0,333.0
135,2009,298.0513,20.6578,255.0,285.0,302.0,314.0,333.0
136,2009,298.4788,20.5256,255.0,287.0,303.0,314.0,333.0
137,2009,298.8686,20.3929,255.0,287.0,303.0,315.0,333.0
138,2009,299.2678,20.1895,255.0,290.0,303.0,315.0,333.0
139,2010,299.6299,20.0592,252.0,291.0,304.0,315.0,333.0
140,2010,300.0348,19.9183,255.0,291.0,304.0,315.0,333.0
141,2010,300.4388,19.6948,255.0,292.0,304.0,315.75,333.0
142,2010,300.8234,19.5294,255.0,292.0,304.0,316.0,333.0
143,2010,301.2303,19.3289,255.0,292.0,305.0,316.0,333.0
144,2010,301.5786,19.1808,255.0,292.0,305.0,316.0,333.0
145,2010,301.9498,18.9859,255.0,292.0,306.0,316.0,333.0
146,2010,302.3692,18.8262,255.0,292.0,306.0,316.0,333.0
147,2010,302.7393,18.6323,255.0,293.0,306.0,317.0,333.0
148,2010,303.1020,18.3746,255.0,294.0,306.0,317.0,333.0
149,2010,303.4925,18.1253,255.0,294.0,307.0,317.0,333.0
150,2010,303.8731,17.9194,255.0,294.0,308.0,317.0,333.0
151,2010,304.2373,17.6289,256.0,294.25,308.0,317.0,333.0
152,2010,304.6463,17.3453,256.0,297.0,308.0,317.75,333.0
153,2010,305.0174,17.0484,256.0,297.0,308.0,318.0,333.0
154,2010,305.4114,16.7431,256.0,297.0,308.0,318.0,333.0
155,2010,305.8383,16.4483,256.0,298.0,309.0,318.0,333.0
156,2010,306.2184,16.1610,260.0,298.0,309.0,318.0,333.0
157,2010,306.5736,15.9053,260.0,298.0,309.0,319.0,333.0
158,2010,306.9692,15.6663,260.0,298.0,309.0,319.0,333.0
159,2010,307.3622,15.3376,260.0,299.0,310.0,319.0,333.0
160,2010,307.7438,15.0286,260.0,299.0,310.0,319.0,333.0
161,2010,308.1706,14.6553,260.0,299.0,310.0,319.0,333.0
162,2010,308.5637,14.3161,260.0,300.0,310.0,319.0,333.0
163,2010,308.9478,14.0327,260.0,301.0,310.0,320.0,333.0
164,2010,309.3423,13.6741,260.0,301.0,311.0,320.0,333.0
165,2010,309.7657,13.3370,262.0,302.0,311.0,320.0,335.0
166,2010,310.1214,13.1262,262.0,302.0,311.0,320.0,335.0
167,2010,310.4980,12.9023,262.0,302.0,312.0,320.0,335.0
168,2010,310.8801,12.6628,262.0,303.0,312.0,321.0,335.0
169,2010,311.2622,12.4276,262.0,304.0,312.0,321.0,335.0
170,2010,311.6522,12.2680,262.0,304.0,313.0,321.0,335.0
171,2010,311.9945,12.0466,262.0,304.0,313.0,321.0,335.0
172,2010,312.3975,11.8134,262.0,305.0,314.0,321.0,335.0
173,2010,312.7617,11.7028,262.0,305.0,314.0,321.0,335.0
174,2010,313.1463,11.5680,262.0,306.0,315.0,322.0,335.0
