generation,count,mean,std,min,25%,50%,75%,max
1,2000,61.3350,5.6145,37,58.0,62.0,65.0,80
2,2000,61.6215,5.4205,41,58.0,62.0,65.0,80
3,2000,61.9080,5.2440,48,58.0,62.0,66.0,80
4,2000,62.2000,5.0683,50,59.0,62.0,66.0,80
5,2000,62.4530,4.9813,51,59.0,62.0,66.0,80
6,2000,62.7165,4.8998,51,59.0,63.0,66.0,80
7,2000,63.0075,4.8162,51,60.0,63.0,66.0,80
8,2000,63.2365,4.7431,54,60.0,63.0,66.0,80
9,2000,63.4725,4.7113,54,60.0,63.0,67.0,80
10,2000,63.7225,4.6526,54,60.0,64.0,67.0,80
11,2000,63.9895,4.6492,55,61.0,64.0,67.0,80
12,2000,64.2040,4.6422,55,61.0,64.0,67.0,80
13,2000,64.4545,4.6319,55,61.0,64.0,67.0,84
14,2000,64.6745,4.5874,56,61.0,64.0,68.0,84
15,2000,64.8725,4.5804,56,62.0,64.0,68.0,84
16,2000,65.0910,4.5239,56,62.0,65.0,68.0,84
17,2000,65.3130,4.5128,57,62.0,65.0,68.0,84
18,2000,65.5120,4.5029,57,62.0,65.0,68.0,84
19,2000,65.7205,4.5371,57,62.0,65.0,68.0,84
20,2000,65.9150,4.5494,58,63.0,65.0,69.0,84
21,2000,66.1335,4.5260,58,63.0,66.0,69.0,85
22,2000,66.3555,4.5590,58,63.0,66.0,69.0,85
23,2000,66.5535,4.5706,59,63.0,66.0,69.0,85
24,2000,66.7225,4.5900,59,63.0,66.0,69.0,85
25,2000,66.9285,4.5956,59,63.0,66.0,70.0,85
26,2000,67.1225,4.6045,59,64.0,67.0,70.0,85
27,2000,67.3435,4.6252,59,64.0,67.0,70.0,85
28,2000,67.5350,4.6351,60,64.0,67.0,70.0,85
29,2000,67.7140,4.6577,60,64.0,67.0,70.0,85
30,2000,67.9030,4.6664,60,64.0,67.0,71.0,85
31,2000,68.1220,4.6916,60,64.0,67.0,71.0,85
32,2000,68.3180,4.7190,60,65.0,68.0,71.0,86
33,2000,68.5120,4.7574,61,65.0,68.0,71.0,86
34,2000,68.6945,4.7949,61,65.0,68.0,71.0,86
35,2000,68.9005,4.8175,62,65.0,68.0,71.0,86
36,2000,69.0880,4.9088,62,65.0,68.0,72.0,87
37,2000,69.2800,4.9808,62,66.0,68.0,72.0,87
38,2000,69.4710,5.0325,62,66.0,68.0,72.0,87
39,2000,69.6525,5.0541,63,66.0,69.0,72.0,87
40,2000,69.8605,5.1431,63,66.0,69.0,73.0,87
41,2000,70.0805,5.2378,63,66.0,69.0,73.0,87
42,2000,70.2915,5.3432,63,66.0,69.0,73.0,87
43,2000,70.5080,5.4206,63,66.0,69.0,74.0,87
44,2000,70.7030,5.4820,63,67.0,69.0,74.0,87
45,2000,70.9105,5.5910,63,67.0,70.0,74.0,88
46,2000,71.1570,5.6456,63,67.0,70.0,75.0,89
47,2000,71.3430,5.6729,63,67.0,70.0,75.0,89
48,2000,71.5670,5.7480,63,67.0,70.0,75.0,89
49,2000,71.7620,5.7782,63,67.0,70.0,75.0,89
50,2000,71.9695,5.8453,63,67.0,71.0,76.0,89
51,2000,72.1710,5.9179,64,68.0,71.0,76.0,89
52,2000,72.3770,5.9691,64,68.0,71.0,76.0,89
53,2000,72.5755,6.0100,64,68.0,71.0,76.0,89
54,2000,72.7835,6.0722,64,68.0,71.0,77.0,89
55,2000,73.0165,6.1014,64,68.0,72.0,77.0,89
56,2000,73.2225,6.1057,64,68.0,72.0,78.0,89
57,2000,73.4340,6.1184,64,68.0,72.0,78.0,89
58,2000,73.6430,6.1075,64,69.0,72.0,78.0,89
59,2000,73.8095,6.1151,64,69.0,72.0,78.0,89
60,2000,74.0240,6.1158,65,69.0,72.0,78.25,90
61,2000,74.2275,6.1760,65,69.0,73.0,79.0,90
62,2000,74.4475,6.2122,65,69.0,73.0,80.0,90
63,2000,74.6475,6.2129,65,69.0,73.0,80.0,90
64,2000,74.8740,6.2291,65,70.0,73.0,80.0,90
65,2000,75.0870,6.2322,66,70.0,74.0,81.0,90
66,2000,75.3050,6.2389,66,70.0,74.0,81.0,90
67,2000,75.5495,6.2318,66,70.0,75.0,81.0,91
68,2000,75.7650,6.2420,66,70.0,75.0,81.0,92
69,2000,76.0050,6.2990,66,70.0,75.0,82.0,92
70,2000,76.2255,6.3101,66,71.0,76.0,82.0,92
71,2000,76.4210,6.2871,66,71.0,76.0,82.0,92
72,2000,76.6690,6.3202,66,71.0,76.0,82.0,92
73,2000,76.9155,6.3513,66,71.0,77.0,83.0,92
74,2000,77.1415,6.3655,66,71.0,77.0,83.0,92
75,2000,77.3625,6.3509,67,72.0,77.0,83.0,92
76,2000,77.5795,6.3310,67,72.0,78.0,83.0,92
77,2000,77.8040,6.2922,67,72.0,78.0,83.0,92
78,2000,78.0195,6.2438,67,72.0,78.0,83.0,92
79,2000,78.2525,6.1980,67,73.0,78.0,83.0,92
80,2000,78.5030,6.1568,67,73.0,79.0,84.0,92
81,2000,78.7095,6.0942,67,74.0,79.0,84.0,92
82,2000,78.9780,6.0354,67,74.0,79.0,84.0,92
83,2000,79.2035,5.9831,68,74.0,80.0,84.0,92
84,2000,79.4710,5.9076,68,75.0,80.0,84.0,92
85,2000,79.7400,5.8362,68,75.0,80.0,84.0,92
86,2000,79.9720,5.7492,68,75.0,81.0,84.0,92
87,2000,80.1980,5.6774,69,76.0,81.0,85.0,92
88,2000,80.4210,5.6197,69,76.0,81.0,85.0,92
89,2000,80.6375,5.5111,69,76.0,81.0,85.0,92
90,2000,80.8605,5.4485,69,77.0,82.0,85.0,92
91,2000,81.0835,5.3591,69,77.0,82.0,85.0,92
92,2000,81.3035,5.2454,70,78.0,82.0,85.0,92
93,2000,81.5695,5.0979,70,78.0,82.0,85.0,92
94,2000,81.7950,4.9850,70,78.0,82.0,85.0,92
95,2000,82.0130,4.8440,71,79.0,83.0,85.0,92
96,2000,82.2260,4.7485,71,79.0,83.0,86.0,92
97,2000,82.4385,4.5953,71,79.0,83.0,86.0,92
98,2000,82.6590,4.4568,71,80.0,83.0,86.0,93
99,2000,82.8845,4.2812,71,80.0,83.0,86.0,93
100,2000,83.0925,4.1484,74,80.0,83.0,86.0,93
101,2000,83.3025,4.0697,74,80.0,83.0,86.0,93
102,2000,83.5015,3.9573,75,81.0,84.0,86.0,93
103,2000,83.7040,3.8828,75,81.0,84.0,86.0,94
104,2000,83.9295,3.8013,75,81.0,84.0,87.0,94
105,2000,84.1265,3.6921,75,81.0,84.0,87.0,94
106,2000,84.3565,3.5962,77,82.0,84.0,87.0,94
107,2000,84.5655,3.5468,78,82.0,84.0,87.0,94
108,2000,84.7535,3.5164,78,82.0,85.0,87.0,94
109,2000,84.9560,3.4824,78,82.0,85.0,87.0,94
110,2000,85.1675,3.4321,78,83.0,85.0,88.0,94
111,2000,85.3545,3.3816,78,83.0,85.0,88.0,94
112,2000,85.5485,3.3296,79,83.0,85.0,88.0,94
113,2000,85.7475,3.2688,79,83.0,86.0,88.0,94
114,2000,85.9535,3.2055,79,83.0,86.0,88.0,94
115,2000,86.1290,3.1353,80,84.0,86.0,88.0,94
116,2000,86.2955,3.0964,80,84.0,86.0,88.0,94
117,2000,86.4800,3.0365,81,84.0,86.0,89.0,94
118,2000,86.6565,2.9980,81,84.0,86.0,89.0,94
119,2000,86.8240,2.9662,81,84.0,87.0,89.0,94
120,2000,86.9725,2.9440,82,85.0,87.0,89.0,94
121,2000,87.1255,2.9341,82,85.0,87.0,89.0,94
122,2000,87.3005,2.8803,82,85.0,87.0,89.0,94
123,2000,87.4395,2.8431,82,85.0,87.0,89.0,94
124,2000,87.5805,2.7843,82,85.0,87.0,89.0,94
125,2000,87.7150,2.7584,83,86.0,88.0,90.0,94
126,2000,87.8675,2.7457,83,86.0,88.0,90.0,94
127,2000,88.0095,2.6959,83,86.0,88.0,90.0,94
128,2000,88.1530,2.6511,83,86.0,88.0,90.0,94
129,2000,88.3115,2.6138,83,86.0,88.0,90.0,94
130,2000,88.4690,2.5703,84,86.0,88.0,90.0,94
131,2000,88.5925,2.5345,84,87.0,88.0,91.0,94
132,2000,88.7300,2.5044,84,87.0,89.0,91.0,94
133,2000,88.8490,2.4646,84,87.0,89.0,91.0,94
134,2000,88.9850,2.4203,84,87.0,89.0,91.0,94
135,2000,89.1110,2.3653,84,87.0,89.0,91.0,94
136,2000,89.2295,2.3349,85,87.0,89.0,91.0,94
137,2000,89.3595,2.3032,85,88.0,89.0,91.0,94
138,2000,89.4795,2.2441,85,88.0,89.0,91.0,95
139,2000,89.6295,2.1899,85,88.0,89.0,91.0,95
140,2000,89.7270,2.1677,86,88.0,90.0,91.0,95
141,2000,89.8535,2.1451,86,88.0,90.0,92.0,95
142,2000,89.9680,2.1164,86,88.0,90.0,92.0,95
143,2000,90.0800,2.0813,86,88.0,90.0,92.0,95
144,2000,90.1940,2.0466,86,89.0,90.0,92.0,95
145,2000,90.3365,2.0038,87,89.0,90.0,92.0,95
146,2000,90.4505,1.9853,87,89.0,91.0,92.0,95
147,2000,90.5545,1.9736,87,89.0,91.0,92.0,95
148,2000,90.6680,1.9364,87,89.0,91.0,92.0,95
149,2000,90.7775,1.9036,87,89.0,91.0,92.0,95
150,2000,90.8800,1.8623,88,89.0,91.0,92.0,95
151,2000,90.9755,1.8557,88,89.0,91.0,92.0,95
152,2000,91.0760,1.8338,88,90.0,91.0,92.0,95
153,2000,91.1720,1.8100,88,90.0,91.0,92.0,95
154,2000,91.2625,1.7797,88,90.0,91.0,92.0,95
155,2000,91.3685,1.7344,88,90.0,91.0,93.0,95
156,2000,91.4565,1.6919,88,90.0,92.0,93.0,95
157,2000,91.5565,1.6414,88,90.0,92.0,93.0,95
158,2000,91.6370,1.6055,89,90.0,92.0,93.0,95
159,2000,91.7175,1.5846,89,91.0,92.0,93.0,95
160,2000,91.7995,1.5629,89,91.0,92.0,93.0,95
161,2000,91.8865,1.5352,89,91.0,92.0,93.0,95
162,2000,91.9720,1.5008,89,91.0,92.0,93.0,95
163,2000,92.0550,1.4608,89,91.0,92.0,93.0,95
164,2000,92.1395,1.4167,89,91.0,92.0,93.0,95
165,2000,92.2300,1.3719,89,91.0,92.0,93.0,96
166,2000,92.3050,1.3597,90,91.0,92.0,93.0,96
