generation,count,mean,std,min,25%,50%,75%,max
1,2000,3140.4765,69.1518,2911,3094.0,3141.0,3187.0,3371
2,2000,3142.5515,68.4550,2911,3097.0,3142.0,3188.25,3371
3,2000,3144.7535,67.5777,2911,3100.0,3145.0,3190.0,3371
4,2000,3147.0165,66.3683,2911,3103.0,3146.0,3191.0,3371
5,2000,3148.9965,65.3936,2911,3106.0,3148.0,3192.0,3371
6,2000,3151.3775,64.5779,2911,3109.0,3150.0,3194.0,3371
7,2000,3153.7405,63.5673,2911,3111.0,3152.0,3196.0,3371
8,2000,3155.9940,62.5739,2911,3113.0,3154.0,3198.0,3371
9,2000,3158.1840,61.3496,2911,3116.75,3155.0,3199.0,3371
10,2000,3160.4300,60.9247,2911,3119.0,3157.0,3200.0,3380
11,2000,3162.6995,60.2120,2911,3122.0,3159.0,3203.0,3380
12,2000,3164.8465,59.4302,2911,3123.0,3161.0,3205.0,3380
13,2000,3166.9730,59.2788,2911,3125.0,3163.0,3206.0,3380
14,2000,3169.1300,58.7071,2911,3127.0,3165.0,3210.0,3380
15,2000,3171.1540,57.7283,2990,3128.0,3167.0,3210.0,3380
16,2000,3173.2460,57.0772,3047,3130.0,3168.0,3212.0,3380
17,2000,3175.3435,56.5985,3047,3133.0,3170.0,3213.0,3380
18,2000,3177.1955,56.0865,3047,3135.0,3172.0,3215.0,3380
19,2000,3179.0390,55.6159,3065,3137.0,3174.0,3216.0,3380
20,2000,3181.1935,55.2722,3067,3140.0,3175.0,3217.0,3380
